序号,法律领域,典型维权场景摘要,实操法律咨询问题,法律条文依据
1,刑事与保险,伪造证据骗取保险金,发现有人伪造病历企图骗取巨额保险金，向哪举报？涉案多少会被立案侦查？,《中华人民共和国保险法》第一百七十四条规定，投保人、被保险人或者受益人进行保险诈骗活动（如虚构保险标的、编造虚假事故原因或夸大损失程度等），尚不构成犯罪的，依法给予行政处罚；构成犯罪的，依法追究刑事责任。此外，《中华人民共和国社会保险法》第八十七条、第八十八条规定，以欺诈、伪造证明材料等手段骗取社会保险基金支出的，由社会保险行政部门责令退回骗取的社会保险金，并处罚款
2,刑事与劳动,拒不支付劳动报酬（恶意欠薪）,老板恶意拖欠工资并失联，能否直接去公安局控告其犯“拒不支付劳动报酬罪”？,《保障农民工工资支付条例》第七条规定，公安机关负责及时受理、侦办涉嫌拒不支付劳动报酬刑事案件；第四十一条进一步规定，人力资源社会保障行政部门发现拖欠农民工工资的违法行为涉嫌构成拒不支付劳动报酬罪的，应当依法及时移送公安机关审查。《中华人民共和国劳动法》第九十一条也规定了克扣或者无故拖欠劳动者工资的，由劳动行政部门责令支付劳动报酬、经济补偿，并可以责令支付赔偿金。
3,刑事与人身,非法限制人身自由强迫劳动,被非法用工单位强迫劳动解救后，除了追究刑事责任，民事上还能主张哪些赔偿？,《中华人民共和国劳动合同法》第八十八条规定，用人单位以暴力、威胁或者非法限制人身自由的手段强迫劳动的，依法给予行政处罚；构成犯罪的，依法追究刑事责任；给劳动者造成损害的，应当承担赔偿责任、。《中华人民共和国劳动法》第九十六条同样作出了相应处罚和追究刑事责任的规定。
4,刑事与安全,强令违章冒险作业致重大伤亡,矿山负责人强令工人违章下井致伤亡，涉嫌何种罪名？家属如何申请工伤索赔？,《中华人民共和国劳动法》第九十三条明确规定，用人单位强令劳动者违章冒险作业，发生重大伤亡事故，造成严重后果的，对责任人员依法追究刑事责任。《中华人民共和国劳动合同法》第八十八条也将“违章指挥或者强令冒险作业危及劳动者人身安全的”列为依法追究刑事责任及行政处罚的情形。
5,刑事与人身,非法搜查身体与拘禁体罚员工,管理人员私自搜身、关押殴打员工，如何进行伤情鉴定？是否构成非法拘禁罪？,《中华人民共和国劳动法》第九十六条规定，用人单位有侮辱、体罚、殴打、非法搜查和拘禁劳动者行为的，由公安机关对责任人员处以十五日以下拘留、罚款或者警告；构成犯罪的，对责任人员依法追究刑事责任。
6,刑事与社保,经办机构挪用、侵占社保基金,社保机构人员将专款专用的基金挪作他用触犯何罪？老百姓待遇受损如何维权？,《中华人民共和国社会保险法》第六十四条规定，社会保险基金专款专用，任何组织和个人不得侵占或者挪用；第六十九条规定，社会保险基金不得用于平衡其他政府预算，不得用于兴建、改建办公场所等或挪作他用；第九十一条规定，隐匿、转移、侵占、挪用社会保险基金或者违规投资运营的，责令追回、没收违法所得并对责任人依法给予处分。
7,刑事与鉴定,鉴定机构受贿出具虚假证明,鉴定医生收受贿赂出具虚假职业病证明骗取补助，行贿和受贿双方会面临何种处罚？,《工伤保险条例》第六十一条规定，从事劳动能力鉴定的组织或者个人提供虚假鉴定意见、提供虚假诊断证明或者收受当事人财物的，由社会保险行政部门责令改正并处以罚款；情节严重，构成犯罪的，依法追究刑事责任。
8,刑事与婚姻,婚姻存续期间与他人重婚,发现配偶在外地与他人秘密登记结婚，离婚诉讼中如何收集证据并主张损害赔偿？,《中华人民共和国民法典》第一千零四十二条明确规定“禁止重婚”；第一千零五十一条规定重婚的，婚姻无效；第一千零九十一条规定因重婚导致离婚的，无过错方有权请求损害赔偿。
9,刑事与人身,黑中介非法买卖人体器官,网络上“高薪买肾”的协议如果本人“自愿”是否有效？组织交易的中介涉嫌何罪？,《中华人民共和国民法典》第一千零七条规定，禁止以任何形式买卖人体细胞、人体组织、人体器官、遗体。违反该规定的买卖行为绝对无效。
10,刑事与行政,国家工作人员滥用职权玩忽职守,劳动部门对欠薪压案不查导致严重损失，群众如何向纪委监委控告其玩忽职守？,《中华人民共和国社会保险法》第九十三条规定，国家工作人员在社会保险管理、监督工作中滥用职权、玩忽职守、徇私舞弊的，依法给予处分。《中华人民共和国劳动法》第一百零三条以及《保障农民工工资支付条例》第六十二条均对行政部门工作人员玩忽职守、滥用职权等行为规定了行政处分及刑事责任。
11,劳动合同,对普通操作工违法约定竞业限制,普通流水线工人被强制签的竞业协议有效力吗？离职去同行业能否拒绝支付违约金？,《中华人民共和国劳动合同法》第二十四条规定，竞业限制的人员仅限于用人单位的高级管理人员、高级技术人员和其他负有保密义务的人员。对普通操作工约定竞业限制超越了法定人员范围，不具有约束力。
12,工伤赔偿,违法分包给无资质包工头致工伤,在无资质包工头手下摔伤，能否直接要求有资质的总建筑公司承担工伤赔偿责任？,《最高人民法院关于审理劳动争议案件适用法律问题的解释（二）》第一条规定，具备合法经营资格的承包人将承包业务转包或者分包给不具备合法经营资格的组织或者个人，该组织或者个人招用的劳动者请求确认承包人为承担用工主体责任单位，承担认定工伤后的工伤保险待遇等责任的，人民法院依法予以支持。《四川省工伤保险条例》第二十三条等地方条例亦有类似发包方承担工伤主体责任的明文规定。
